Café_Names,Count,Average_Polarity,Average_Subjectivity
The Populus Coffee & Food Co.,362,0.2410352129820107,0.4659732610851324
Xiao Ya Tou,187,0.20702194022325204,0.48023464590603426
Bearded Bella,48,0.1888347005229993,0.45000947268314206
The Lokal,479,0.25026377392610477,0.5324031865453006
Chong Wen Ge Cafe 崇文阁,70,0.17502048553770497,0.47113715668307504
Common Man Stan,26,0.21362370633752212,0.49126119129408613
Lunar Coffee Brewers,66,0.18916284795952004,0.4699191860778711
Guac & Go,24,0.178112806158965,0.4598224383302448
1KS,20,0.14412466608486826,0.47111849814129225
Well Dressed Salad Bar & Cafe,38,0.23339525538551437,0.5384841480187493
Group Therapy (Duxton),292,0.2170765421540159,0.42141333281871374
VENUE by Sebastian,79,0.22987037415346923,0.5082349820763865
NINJA BOWL,348,0.22375049562468885,0.4686986886362
My Awesome Cafe,85,0.23377365445881262,0.5344236953010557
Café & Bar Gavroche,47,0.2006463889875744,0.31358447150620405
JAPAN RAIL CAFE,70,0.2092062147807191,0.5354764940920762
Dapper Coffee,147,0.20146093657134065,0.4904316109239029
Nylon Coffee Roasters,111,0.20220529049150077,0.35728650537182294
The Moments,96,0.18800582471155391,0.39359021339707095
Eight Cafe & Bar,33,0.24201448999521638,0.47936224690012563
Truffs,26,0.21186600998208147,0.48603637433994573
Pantler,120,0.1881041885189849,0.4788162837844745
Luxe,90,0.22652833444569256,0.46513107978281154
Monument Lifestyle,20,0.21374542926484894,0.5290440948821902
PS.Cafe (Ann Siang Hill),104,0.19927095318321283,0.4017409075522057
The Sandwich Shop (Robinson Centre),4,0.11919642857142856,0.40059523809523806
Orchid Cafe (Orchid Hotel),14,0.3965257570580077,0.6548084776471476
Just Want Coffee,37,0.19996180433680436,0.3574136417261418
Café 2000 (M Hotel),37,0.1879952255345562,0.38445341673745564
Good Morning Nanyang Cafe 早安南洋 (Maxwell Chambers),13,0.2674288219065317,0.3918057949723159
Drury Lane (Tanjong Pagar),256,0.2154703198211818,0.4278175810570945
Hattendo Cafe,91,0.22498134419123922,0.4505913076448893
Royz et Vous (Telok Ayer),61,0.23998044210621328,0.4882773098884369
Coffee Break (Amoy Street Food Centre),35,0.14184521981231163,0.5033890446791808
The White Rocket,4,0.14038194444444443,0.5842361111111111
Jewel Coffee (Tanjong Pagar Centre),11,0.12061196379378197,0.3552911419388692
Hustle Co,47,0.20510957147904665,0.48815243227124494
Fat Prince,22,0.2627977300176976,0.5261418480209065
Bingki Korean Dessert Cafe,58,0.18815978202831657,0.42803088526886157
Harvestry,5,0.04615411484459104,0.4328325202134726
Epiphyte,59,0.14961496862187648,0.4772685613101865
Omotesando Koffee,25,0.26203592420651245,0.539104247433239
Pickleville,13,0.1610181179115003,0.3863162062610593
Alchemist (International Plaza),17,0.15532700214588763,0.4304344603338412
Huggs Cafe (Cecil Street),9,0.35148148148148145,0.47111111111111115
Mellower Coffee (Tanjong Pagar),21,0.12262121446419381,0.5084218323248935
Merchants Wine Cellar & Store (Duxton Hill),25,0.1881709595959596,0.40461933621933627
Ah Seng (Hai Nam) Coffee (Amoy Street Food Centre),15,0.16513749499799918,0.4125115646258504
Chatuchak Thai Tea,31,0.1420949782524735,0.5077776343628044
The Autobus,9,0.17221368138034804,0.4567277321443988
Henri Charpentier (Tanjong Pagar Centre),17,0.23507792757759943,0.45921606165391554
HashTag88 Cafe & Bar,5,0.35618326118326116,0.49201298701298696
Tom N Toms Coffee,43,0.1582455126430417,0.30612798979659456
Joe & Dough (Capital Tower),26,0.343234126984127,0.5333020451770452
Secret Recipe (CPF Building),6,0.1501984126984127,0.5331679894179894
6oz Espresso Bar (Tokio Marine Centre),28,0.17376829519686665,0.375168457534529
Dimbulah Coffee (Anson House),8,0.03828125,0.1875
Kopi Alley (Icon Village),2,0.44498106060606063,0.6187499999999999
Cedele Bakery Cafe (Robinson Road),3,0.5896990740740741,0.712037037037037
The Coffee Bean & Tea Leaf (International Plaza),4,0.26666666666666666,0.55
Costa Coffee (Sofitel So Singapore),8,0.2595138888888889,0.5084374999999999
Kanoom - Little Thai Cafe,6,0.09971937512378691,0.45388802238066944
Joe & The Juice (Tanjong Pagar Centre),3,0.16148904006046863,0.45073318216175356
Rocky Master (Mapletree Anson),2,0.5,0.15
BLUEMIST Cafe,8,0.14765625,0.2916666666666667
Nanyang Old Coffee (Chinatown),4,0.20621392496392496,0.4738185425685426
Kosnica,28,0.20202809987631415,0.44108695801552944
Urban Fairways,11,0.24488597009051552,0.4972601119419302
Yellow Cup Coffee (AXA Tower),3,0.37777777777777777,0.4055555555555555
Trung Nguyen Coffee (International Plaza),8,0.45961970899470894,0.6714484126984127
Ash & Char,41,0.16596899399853818,0.46251267863637197
Rookery (Capital Tower),5,0.22240584415584416,0.3930952380952381
Coffee & Toast (Tanjong Pagar Xchange),3,0.16666666666666666,0.17777777777777778
Patisserie G (Downtown Gallery),5,0.15833333333333333,0.3550000000000001
Dudu Cafe,4,-0.1625,0.49239583333333337
The Providore (Downtown Gallery),21,0.3696304293792332,0.5545299951118475
The New Harbour Café & Bar,25,0.07679778571428571,0.2731957045177045
Passion Cafe (Tanjong Pagar),4,0.33999999999999997,0.45437500000000003
Socks & Pans,9,0.19556704612260167,0.43443335471113254
Loloku,19,0.13377303008424393,0.42374901319660413
Starbucks (Capital Tower),12,0.22215909090909092,0.3673358585858586
